STORE_CD,L12M_TY_QTY,PREMISE_TYPE_DSC,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,INDUSTRY_VOL_DSC,CHAIN_IND_FLG,FRANCHISE_FLG,BEER_FLG,WINE_FLG,LIQUOR_FLG,FINE_WINE_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT
105648731,7.3334,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,MID 30% ON/ MID 60% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105649082,28,ON PREMISE,LODGING,FULL SERVICE LODGING,OTHER,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.9072,0.0204,0.027,0.0363,0.0076,0.012,0.0167,0.0073,0.0358,0.0743,0.0843,0.0896,0.0866,0.1944,0.1546,0.2804,0.0237,0.0579,0.0594,0.0628,0.069,0.0456,0.033,0.0229,0.0584,0.0588,0.0626,0.0695,0.0491,0.0463
102001529,51.5,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,MID 30% ON/ MID 60% OFF,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105645038,17,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,ASIAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9625,0.003,0.0049,0.0113,0.0024,0.0037,0.0052,0.009,0.0271,0.1071,0.1124,0.0994,0.1068,0.2166,0.1412,0.1895,0.0227,0.0528,0.0595,0.06,0.0788,0.0523,0.0365,0.02,0.0522,0.0595,0.0619,0.074,0.0606,0.0521
105649250,10,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100413001,90,OFF PREMISE,GROCERY,SUPERMARKET-CONVENTIONAL,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.8122,0.0801,0.0579,0.03,0.0061,0.0107,0.0132,0.0159,0.0259,0.057,0.0699,0.0746,0.0739,0.178,0.1443,0.3765,0.0177,0.0785,0.0685,0.0599,0.0647,0.0423,0.0292,0.0186,0.0831,0.0677,0.0641,0.0732,0.053,0.0454
102218836,25,ON PREMISE,DINING,CASUAL DINING,AMERICAN,MID 30% ON/ MID 60% OFF,Y,N,Y,Y,Y,N,0.8844,0.0262,0.0213,0.0155,0.0035,0.0049,0.007,0.0222,0.102,0.1284,0.1152,0.0954,0.0846,0.1632,0.1122,0.1991,0.0498,0.0876,0.0612,0.0513,0.0604,0.0392,0.0234,0.0438,0.0821,0.057,0.0517,0.0643,0.0447,0.0414
101803383,200.8889,ON PREMISE,DINING,CASUAL DINING,AMERICAN,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.9177,0.0186,0.0263,0.0244,0.0042,0.0079,0.0123,0.0095,0.0107,0.0203,0.0345,0.0463,0.0493,0.1702,0.1704,0.4982,0.023,0.0553,0.0795,0.0763,0.051,0.0256,0.0136,0.0223,0.0576,0.0805,0.0742,0.0493,0.028,0.0159
105647072,43.3332,ON PREMISE,DINING,CASUAL DINING,AMERICAN,TOP 50% ON/ TOP 20% OFF,Y,Y,Y,Y,Y,N,0.9377,0.0135,0.0259,0.0122,0.0028,0.004,0.0054,0.0084,0.0874,0.1093,0.1055,0.0972,0.0926,0.1828,0.1196,0.2058,0.0652,0.0718,0.0538,0.0519,0.0633,0.0467,0.0298,0.0656,0.0704,0.0486,0.0517,0.065,0.0495,0.0452
100396013,0,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.6788,0.1364,0.0988,0.0633,0.0115,0.0195,0.0323,0.0171,0.033,0.0498,0.0716,0.0791,0.0825,0.2251,0.1466,0.3124,0.0221,0.0743,0.0684,0.0574,0.0561,0.0346,0.0228,0.0228,0.0806,0.0687,0.0613,0.0638,0.0434,0.0336
105646785,,ON PREMISE,RECREATION,BILLIARD/BOWLING/ARCADE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105647631,6,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.8027,0.0998,0.0424,0.0324,0.0074,0.0095,0.0155,0.0185,0.0548,0.052,0.071,0.0815,0.0809,0.1784,0.1343,0.3471,0.0221,0.0883,0.0699,0.0611,0.0568,0.0363,0.0149,0.0256,0.0986,0.0729,0.0645,0.0649,0.0433,0.0224
101947549,4,ON PREMISE,RECREATION,BILLIARD/BOWLING/ARCADE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102671627,34,ON PREMISE,LODGING,FULL SERVICE LODGING,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,Y,Y,Y,Y,N,0.7487,0.0918,0.0785,0.0573,0.0135,0.0196,0.0242,0.0173,0.0441,0.0629,0.0702,0.0745,0.0743,0.1712,0.1399,0.3628,0.0247,0.0776,0.0675,0.0638,0.0618,0.037,0.0211,0.0243,0.0784,0.0679,0.0653,0.0662,0.0429,0.0315
105648240,2,ON PREMISE,DINING,CASUAL DINING,VARIED MENU,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9384,0.0112,0.0244,0.0176,0.0036,0.0058,0.0082,0.006,0.0429,0.0816,0.0916,0.0907,0.0883,0.2184,0.1349,0.2515,0.044,0.0665,0.0552,0.0614,0.0717,0.0494,0.0308,0.0408,0.0647,0.0532,0.0614,0.0726,0.0535,0.04
107332817,,ON PREMISE,DINING,CASUAL DINING,VARIED MENU,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.6988,0.1305,0.054,0.0832,0.0245,0.0306,0.0281,0.0218,0.0853,0.0923,0.0861,0.0823,0.0825,0.1609,0.1184,0.2922,0.0234,0.131,0.0806,0.0625,0.0521,0.0305,0.015,0.0268,0.1242,0.0757,0.0525,0.0476,0.033,0.0213
100570775,27,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.8396,0.0601,0.0472,0.0355,0.008,0.013,0.0145,0.0133,0.0299,0.053,0.0624,0.0567,0.0551,0.1355,0.1385,0.4688,0.0161,0.062,0.0746,0.0663,0.062,0.0391,0.0267,0.0157,0.0656,0.0751,0.0709,0.0733,0.0507,0.0475
203542052,8,ON PREMISE,DINING,CASUAL DINING,PIZZA,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,N,N,0.6863,0.063,0.022,0.2152,0.0516,0.0712,0.0924,0.0072,0.069,0.1096,0.107,0.1053,0.0965,0.1961,0.1522,0.1642,0.0272,0.0604,0.0518,0.0609,0.0778,0.0473,0.0315,0.0235,0.0558,0.0524,0.0624,0.0652,0.0426,0.0476
105645465,5,ON PREMISE,RECREATION,PRIVATE CLUB,OTHER,TOP 50% ON/ TOP 20% OFF,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205646745,3,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9658,0.0011,0.005,0.0144,0.0033,0.0046,0.0065,0.0074,0.0401,0.0826,0.1028,0.11,0.1065,0.2058,0.1478,0.2045,0.0192,0.0426,0.046,0.0566,0.0781,0.0782,0.0545,0.0159,0.0396,0.0479,0.0577,0.0842,0.0811,0.0642
105648057,0,ON PREMISE,RECREATION,THEATER,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107423810,2,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9672,0.0026,0.0065,0.0118,0.0024,0.0038,0.0056,0.0089,0.0246,0.0624,0.0613,0.065,0.0691,0.1894,0.1725,0.3557,0.0242,0.0521,0.0582,0.0754,0.075,0.0514,0.0335,0.0239,0.0492,0.0555,0.0762,0.0756,0.0531,0.0409
105647411,8,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,MID 30% ON/ MID 60% OFF,N,N,Y,Y,Y,N,0.8696,0.0332,0.0534,0.0274,0.0053,0.0081,0.014,0.0132,0.0249,0.0507,0.0658,0.0744,0.0771,0.1743,0.1482,0.3847,0.0259,0.0657,0.0545,0.0615,0.0722,0.0455,0.0308,0.0241,0.0649,0.0548,0.0692,0.0782,0.053,0.0463
105646528,,ON PREMISE,RECREATION,OTHER ENTERTAINMENT,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105646561,4,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107066369,8,ON PREMISE,DINING,CASUAL DINING,ASIAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9419,0.0008,0.0034,0.0458,0.0083,0.0125,0.0249,0.0039,0.0608,0.0764,0.1006,0.116,0.1101,0.1903,0.1329,0.213,0.0235,0.054,0.0505,0.0492,0.0724,0.0556,0.043,0.0202,0.0542,0.0542,0.0552,0.0743,0.069,0.0766
100765405,250.5,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,OTHER,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.9007,0.0271,0.0278,0.03,0.0059,0.0099,0.0142,0.0112,0.0649,0.1057,0.1066,0.1026,0.0988,0.1832,0.1289,0.2092,0.0624,0.0922,0.063,0.0493,0.0514,0.0359,0.024,0.0553,0.0806,0.0568,0.0474,0.0551,0.0388,0.0375
102912880,52.25,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,Y,Y,N,0.8278,0.0322,0.0889,0.0371,0.0073,0.0119,0.0179,0.012,0.0282,0.0452,0.0521,0.056,0.0582,0.1845,0.1389,0.437,0.0206,0.0665,0.0646,0.0598,0.0629,0.0403,0.0291,0.0225,0.0758,0.0663,0.0647,0.0698,0.0472,0.0434
105648331,3,ON PREMISE,RECREATION,BILLIARD/BOWLING/ARCADE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105647775,40,ON PREMISE,DINING,FINE DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.697,0.1365,0.0605,0.0728,0.0202,0.0265,0.026,0.0218,0.0784,0.0899,0.0838,0.0806,0.0798,0.1647,0.1234,0.2994,0.0282,0.1058,0.0769,0.061,0.0542,0.0322,0.0163,0.0285,0.1029,0.0743,0.0563,0.0543,0.0363,0.0248
105646799,8,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,MID 30% ON/ MID 60% OFF,N,N,Y,Y,Y,N,0.938,0.0134,0.0254,0.0127,0.0029,0.0041,0.0057,0.0082,0.0829,0.1071,0.1042,0.0969,0.0929,0.1861,0.1236,0.2063,0.063,0.071,0.0547,0.0536,0.0643,0.0467,0.0296,0.0629,0.0696,0.0493,0.053,0.0653,0.0493,0.0438
101586749,20,ON PREMISE,DINING,FAST CASUAL,MEXICAN,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.7478,0.0634,0.0327,0.1361,0.0273,0.0478,0.061,0.0145,0.0501,0.0783,0.0847,0.0906,0.0849,0.187,0.1347,0.2896,0.0223,0.0699,0.0653,0.0581,0.0635,0.0395,0.0285,0.0219,0.0721,0.0655,0.0614,0.0702,0.0482,0.0475
105647854,,ON PREMISE,RECREATION,STADIUM/ARENA/CONVENTION,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305646171,25,ON PREMISE,DINING,CASUAL DINING,AMERICAN,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.8812,0.0079,0.0088,0.018,0.0035,0.0058,0.0087,0.0201,0.049,0.1163,0.0944,0.0991,0.101,0.1779,0.1372,0.2251,0.037,0.0735,0.0558,0.046,0.0525,0.0393,0.0308,0.0365,0.0724,0.0564,0.0502,0.0616,0.046,0.0446
107377427,,ON PREMISE,RECREATION,THEATER,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100969224,15,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.938,0.0095,0.0223,0.0186,0.0038,0.0061,0.0087,0.0076,0.0115,0.0209,0.0358,0.0494,0.0512,0.1845,0.1549,0.4916,0.0296,0.058,0.0535,0.0832,0.0785,0.0454,0.0174,0.0272,0.0509,0.0559,0.0849,0.0746,0.0465,0.02
102101338,384.0833,ON PREMISE,DINING,CASUAL DINING,AMERICAN,TOP 50% ON/ TOP 20% OFF,Y,N,Y,Y,Y,N,0.748,0.1065,0.0892,0.0378,0.0086,0.0134,0.0158,0.0154,0.0254,0.0425,0.0606,0.0674,0.0661,0.1652,0.1448,0.428,0.0212,0.0693,0.068,0.0665,0.0653,0.0368,0.0172,0.0209,0.0724,0.0706,0.0709,0.0727,0.0429,0.0255
101992018,150.6668,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.6366,0.1761,0.0738,0.0763,0.0225,0.0277,0.0261,0.0234,0.1136,0.1142,0.0957,0.0831,0.0793,0.1551,0.1079,0.2511,0.0314,0.13,0.0804,0.0598,0.0514,0.0304,0.0151,0.0328,0.119,0.0735,0.0476,0.0454,0.0324,0.0211
103804740,2,ON PREMISE,EXTENDED MASTER ON-PREMISE,RESTAURANT NA,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101524156,21.9583,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.8548,0.0283,0.0826,0.0197,0.0034,0.0065,0.0098,0.0098,0.0084,0.0178,0.0257,0.036,0.0438,0.1242,0.14,0.6041,0.0224,0.0499,0.0731,0.0816,0.0621,0.0311,0.0142,0.0219,0.0494,0.0797,0.0808,0.06,0.036,0.016
205530863,100,ON PREMISE,DINING,CASUAL DINING,AMERICAN,TOP 50% ON/ TOP 20% OFF,Y,N,Y,Y,Y,N,0.8131,0.0611,0.083,0.0269,0.0054,0.0092,0.0123,0.0136,0.0184,0.0389,0.0537,0.0606,0.0615,0.1506,0.1374,0.4789,0.0206,0.0672,0.0637,0.0665,0.068,0.0412,0.0219,0.021,0.0736,0.0657,0.0728,0.0765,0.0485,0.0313
100903227,16,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.9726,0.0035,0.0026,0.0111,0.0021,0.0037,0.0053,0.007,0.0301,0.0604,0.0818,0.089,0.0825,0.1827,0.1308,0.3427,0.0228,0.0577,0.0645,0.0775,0.0704,0.044,0.0264,0.0229,0.0575,0.0612,0.0731,0.0672,0.0469,0.0333
105648136,,ON PREMISE,RECREATION,THEATER,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101606452,43,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,N,N,N,0.8738,0.0351,0.0535,0.0256,0.0041,0.009,0.0125,0.011,0.0109,0.0279,0.0352,0.0401,0.0354,0.1668,0.1677,0.516,0.0266,0.0564,0.0635,0.0756,0.0704,0.0363,0.0162,0.0247,0.056,0.068,0.0815,0.0736,0.0425,0.0227
105644707,2,ON PREMISE,DINING,CASUAL DINING,ASIAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,N,N,0.9131,0.0027,0.01,0.0151,0.0032,0.0049,0.007,0.0216,0.0499,0.1123,0.1208,0.0971,0.0742,0.2059,0.1465,0.1933,0.0208,0.0615,0.0583,0.0565,0.0656,0.0466,0.0365,0.0207,0.061,0.0594,0.0543,0.0676,0.0579,0.0589
201578916,2214.9738,ON PREMISE,DINING,FINE DINING,MEXICAN,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.7607,0.0874,0.0588,0.0691,0.0171,0.0251,0.0268,0.0174,0.0461,0.0636,0.0696,0.0745,0.0733,0.1666,0.1369,0.3695,0.0232,0.0837,0.0704,0.0634,0.0615,0.0379,0.0223,0.0232,0.0842,0.0697,0.064,0.0664,0.0448,0.0342
202018681,,ON PREMISE,CATERER,CATERING,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101534665,5,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,Y,Y,Y,N,N,N,0.9723,0.0008,0.0024,0.0149,0.0029,0.0049,0.0071,0.0063,0.0225,0.0571,0.0744,0.0879,0.0931,0.2133,0.1775,0.2742,0.0246,0.0442,0.0505,0.0618,0.0993,0.0884,0.045,0.0182,0.033,0.0449,0.068,0.0849,0.0823,0.047
