,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
250,101804533,167.0,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.951,0.0029,0.01,0.0113,0.0028,0.0037,0.0048,0.0095,0.0202,0.0428,0.0718,0.0767,0.0789,0.1732,0.1711,0.3654,0.0249,0.0622,0.0549,0.0713,0.0871,0.0543,0.0303,0.025,0.0579,0.0499,0.0707,0.0819,0.0531,0.0394,0.003883770930165033,0,101804533,NonLowPoint
251,100415211,8.0,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,False,False,0.9513,0.0088,0.0125,0.0186,0.0045,0.006,0.0081,0.006999999999999999,0.0263,0.0385,0.0333,0.0571,0.0718,0.1703,0.14800000000000002,0.4548,0.024,0.0444,0.0709,0.0778,0.0572,0.0278,0.0218,0.0256,0.0505,0.0724,0.0788,0.0569,0.0306,0.0351,0.00016377347295876645,1,,LowPoint
252,103830204,345.4581,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.9359999999999999,0.0099,0.024,0.0189,0.0035,0.0061,0.0093,0.0086,0.0189,0.0314,0.0375,0.0529,0.0617,0.1631,0.1496,0.4849,0.0251,0.0513,0.0517,0.0762,0.0877,0.0507,0.0228,0.0248,0.0505,0.0521,0.0803,0.0874,0.0529,0.0273,0.008059014189396868,0,103830204,NonLowPoint
253,100364236,51.5,GROCERY,SUPERCENTER,False,False,0.8136,0.0641,0.0509,0.053,0.0099,0.0188,0.0243,0.0151,0.0231,0.0407,0.051,0.06,0.0609,0.168,0.1547,0.4416,0.025,0.0647,0.0636,0.0705,0.0669,0.0392,0.0211,0.0242,0.064,0.0653,0.0728,0.0715,0.0446,0.0285,0.0011815086263453865,1,,LowPoint
254,201406778,1891.4104,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.7955,0.0698,0.0676,0.0498,0.0083,0.0179,0.0236,0.0148,0.0199,0.0378,0.0501,0.0604,0.0643,0.1817,0.157,0.4287,0.0234,0.068,0.0676,0.0676,0.0667,0.0389,0.0209,0.0232,0.0693,0.0684,0.0724,0.0745,0.0463,0.0281,0.04422843950362441,0,201406778,NonLowPoint
255,100518887,33.0,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,False,False,0.5788,0.1714,0.1992,0.0285,0.0062,0.0102,0.0121,0.0188,0.0156,0.0309,0.0475,0.0616,0.0677,0.1626,0.1578,0.4564,0.0228,0.0655,0.0683,0.0697,0.0601,0.0314,0.0147,0.023,0.0691,0.0712,0.0714,0.0631,0.0364,0.0226,0.0007486787335257895,1,,LowPoint
256,107399015,8.0,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.9335,0.004,0.0068,0.0477,0.0108,0.016,0.021,0.0049,0.0248,0.0555,0.067,0.0798,0.0828,0.2168,0.1643,0.3092,0.0239,0.055,0.0604,0.0688,0.0828,0.0537,0.0295,0.0246,0.0528,0.0572,0.0643,0.077,0.0515,0.036000000000000004,0.00016377347295876645,0,107399015,NonLowPoint
257,101487658,32.0,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,False,False,0.8494,0.0542,0.0599,0.0189,0.0044,0.0064,0.0082,0.0135,0.0182,0.0473,0.0639,0.0669,0.0785,0.1692,0.1363,0.4198,0.0186,0.0695,0.0612,0.0584,0.0679,0.0475,0.0294,0.02,0.0788,0.0633,0.0674,0.0815,0.0619,0.0425,0.0007252825231031086,1,,LowPoint
258,102019927,137.0,GROCERY,SUPERMARKET-NATURAL/GOURMET FOODS,False,False,0.8467,0.0566,0.0468,0.0308,0.0064,0.0109,0.0135,0.016,0.0308,0.0482,0.0514,0.0637,0.0726,0.1562,0.1424,0.4347,0.0167,0.0902,0.0713,0.0647,0.0595,0.0368,0.0232,0.0188,0.0985,0.0713,0.0655,0.0653,0.0437,0.0393,0.0031818846174846054,1,102019927,NonLowPoint
259,107392647,599.5831,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.7832,0.0664,0.099,0.0346,0.0053,0.0111,0.0183,0.0142,0.0097,0.017,0.021,0.0258,0.0351,0.105,0.1284,0.6579,0.0242,0.0453,0.0723,0.0751,0.0567,0.0288,0.0129,0.023,0.0521,0.0823,0.0801,0.0597,0.0316,0.0152,0.014004576163060655,0,107392647,NonLowPoint
