STORE_CD,L12M_TY_QTY,PREMISE_TYPE_DSC,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,INDUSTRY_VOL_DSC,CHAIN_IND_FLG,FRANCHISE_FLG,BEER_FLG,WINE_FLG,LIQUOR_FLG,FINE_WINE_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT
102003052,,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107269625,11,ON PREMISE,DINING,CASUAL DINING,AMERICAN,MID 30% ON/ MID 60% OFF,N,N,Y,Y,Y,N,0.9582,0.0058,0.0049,0.0193,0.0035,0.005,0.0108,0.0093,0.0157,0.0587,0.0645,0.0695,0.0453,0.2359,0.1491,0.3612,0.0245,0.0452,0.045,0.0631,0.0922,0.0664,0.0418,0.0249,0.0402,0.0515,0.0692,0.0825,0.0656,0.0439
103970319,59.75,ON PREMISE,DINING,FAST CASUAL,AMERICAN,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.7408,0.0948,0.0168,0.1159,0.0228,0.0351,0.058,0.0216,0.065,0.0989,0.1137,0.1105,0.093,0.1939,0.1263,0.1988,0.0232,0.0674,0.0622,0.0562,0.0591,0.0418,0.0275,0.0233,0.0708,0.063,0.0585,0.068,0.0492,0.0431
101525906,,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.9779,0.0052,0.0047,0.0033,0.0004,0.0014,0.0016,0.0063,0.0738,0.1104,0.1012,0.1235,0.1366,0.1864,0.1075,0.1607,0.0254,0.0527,0.0572,0.0549,0.075,0.0598,0.0373,0.0237,0.0468,0.0418,0.0488,0.0739,0.0518,0.0566
201944741,0,ON PREMISE,DINING,CASUAL DINING,AMERICAN,MID 30% ON/ MID 60% OFF,N,N,Y,Y,N,N,0.9538,0.0002,0.0019,0.0359,0.0063,0.0114,0.0182,0.008,0.0223,0.1084,0.1549,0.0838,0.0913,0.223,0.1668,0.1495,0.017,0.0502,0.0482,0.0492,0.0822,0.056,0.0546,0.0168,0.0457,0.0529,0.0483,0.0772,0.0617,0.0784
107111649,1,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.7862,0.1039,0.0238,0.0647,0.0114,0.0199,0.0334,0.0147,0.0477,0.0635,0.0716,0.0774,0.0716,0.1648,0.1525,0.3509,0.0242,0.0553,0.0637,0.0641,0.0648,0.0425,0.0217,0.0231,0.0567,0.0679,0.0654,0.0675,0.0477,0.0332
101733207,,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9363,0.0099,0.0047,0.0313,0.0048,0.01,0.0165,0.0108,0.0149,0.0596,0.0635,0.0851,0.0859,0.2124,0.1746,0.3039,0.025,0.0547,0.0699,0.0655,0.0675,0.0429,0.0249,0.0233,0.0576,0.0657,0.0631,0.0703,0.0432,0.0325
101938948,21.75,ON PREMISE,DINING,CASUAL DINING,MEXICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.7398,0.0147,0.006,0.2244,0.0477,0.0838,0.0929,0.0098,0.0555,0.1222,0.1189,0.1203,0.1194,0.1857,0.1105,0.1676,0.0271,0.0678,0.0614,0.0554,0.061,0.0396,0.0267,0.0244,0.0631,0.056,0.0581,0.0633,0.0413,0.0384
107393678,1.3333,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.7821,0.0607,0.0597,0.0759,0.0147,0.0254,0.0358,0.0184,0.0201,0.049,0.0676,0.0707,0.0766,0.1753,0.1408,0.4,0.0248,0.0782,0.0714,0.0664,0.0576,0.0322,0.0166,0.0241,0.0774,0.0723,0.0698,0.0639,0.0377,0.0262
101948791,,ON PREMISE,RECREATION,CASINO/GAMBLING,OTHER,MID 30% ON/ MID 60% OFF,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
