"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"101000550","MODELO ESP 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",19
"100764204","CORONA EX 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",37
"100387156","CORONA EX 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",24
"203505996","CORONA EX 16OZ 4PK CAN","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",1.3333
"101754744","VICTORIA 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",188
"107437036","MODELO ESP 24OZ BT","DINING","CASUAL DINING","ON",1
"107437036","MODELO ESP 24PK BT","DINING","CASUAL DINING","ON",4
"107437036","CORONA EX 12PK CAN","DINING","CASUAL DINING","ON",3
"105217223","PACIFICO 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",42
"105217223","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",39
"105213283","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",26
"105528877","CORONA LT 6PK BT","DINING","CASUAL DINING","ON",4
"100170781","MODELO CHELADA 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",15
"107267531","CORONA EX 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",2
"100888147","CORONA EX 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",66
"101403856","CORONA EX 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",6
"107388530","MODELO ESP 6PK BT","DINING","CASUAL DINING","ON",18
"101521241","CORONITA 3.2 7OZ 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",12.833
"107498319","CORONA EX 18PK BT","DINING","CASUAL DINING","ON",85.5
"107498319","PACIFICO 1/4 BL KEG","DINING","CASUAL DINING","ON",30.9996
"103720116","CORONA LT 3.2 12PK BT","DINING","CASUAL DINING","ON",2
"101403937","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"107473764","CERVEZAS CLASICAS 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",24
