"RTL_STORE_CD","BEERTYPE"
"100763483","NonLowPoint"
"100889015","NonLowPoint"
"103507573","NonLowPoint"
"107388530","NonLowPoint"
"107034669","NonLowPoint"
"205526362","NonLowPoint"
"101974846","NonLowPoint"
"100766401","NonLowPoint"
"202004035","NonLowPoint"
"101736616","NonLowPoint"
"103724636","NonLowPoint"
"101000547","NonLowPoint"
"201725170","NonLowPoint"
"107403121","NonLowPoint"
"101403940","NonLowPoint"
"102052506","NonLowPoint"
"101987228","NonLowPoint"
"102344521","NonLowPoint"
"201403662","NonLowPoint"
"101793748","NonLowPoint"
"101403947","NonLowPoint"
"101822006","NonLowPoint"
"102194531","NonLowPoint"
"100765625","NonLowPoint"
"101403790","NonLowPoint"
"107057901","NonLowPoint"
"100766222","NonLowPoint"
"107367186","NonLowPoint"
"107331293","NonLowPoint"
"101404029","NonLowPoint"
"102208302","NonLowPoint"
"102008540","NonLowPoint"
"107513312","NonLowPoint"
"100991426","NonLowPoint"
"101403757","NonLowPoint"
"101792427","NonLowPoint"
"201796310","NonLowPoint"
"101487154","NonLowPoint"
"101732429","NonLowPoint"
"100765156","NonLowPoint"
"100767364","NonLowPoint"
"107436908","NonLowPoint"
"201604340","NonLowPoint"
"201403711","NonLowPoint"
"200930438","NonLowPoint"
"102913216","NonLowPoint"
"101735731","NonLowPoint"
"107491727","NonLowPoint"
"101737990","NonLowPoint"
"101733478","NonLowPoint"
"101860457","NonLowPoint"
"102222144","NonLowPoint"
"201000546","NonLowPoint"
"107280684","NonLowPoint"
"101616929","NonLowPoint"
"103730417","NonLowPoint"
"101404010","NonLowPoint"
"101606174","NonLowPoint"
"201735974","NonLowPoint"
"100327104","NonLowPoint"
"101000578","NonLowPoint"
"100765411","NonLowPoint"
"107393678","NonLowPoint"
"201655324","NonLowPoint"
"103931274","NonLowPoint"
"103788731","NonLowPoint"
"107271818","NonLowPoint"
"301606170","NonLowPoint"
"105217224","NonLowPoint"
"107284879","NonLowPoint"
"107492647","NonLowPoint"
"201738582","NonLowPoint"
"101736715","NonLowPoint"
"107349088","NonLowPoint"
"101404021","NonLowPoint"
"101715705","NonLowPoint"
"101403814","NonLowPoint"
"101671571","NonLowPoint"
"107502709","NonLowPoint"
"101852730","NonLowPoint"
"102245460","NonLowPoint"
"103877840","NonLowPoint"
"103788727","NonLowPoint"
"200765981","NonLowPoint"
"101403663","NonLowPoint"
"103703550","NonLowPoint"
"107485048","NonLowPoint"
"101404099","NonLowPoint"
"103854859","NonLowPoint"
"201403974","NonLowPoint"
"101686822","NonLowPoint"
"107289897","NonLowPoint"
"103957388","NonLowPoint"
"107271512","NonLowPoint"
"102176998","NonLowPoint"
"301733074","NonLowPoint"
"101671575","NonLowPoint"
"101404006","NonLowPoint"
"101802019","NonLowPoint"
"102240300","NonLowPoint"
"102216295","NonLowPoint"
"107243224","NonLowPoint"
"101942242","NonLowPoint"
"101736347","NonLowPoint"
"104004965","NonLowPoint"
"101658430","NonLowPoint"
"107445619","NonLowPoint"
"101671600","NonLowPoint"
"100889011","NonLowPoint"
"107308687","NonLowPoint"
"100410655","NonLowPoint"
"103811272","NonLowPoint"
"101403841","NonLowPoint"
"203589620","NonLowPoint"
"202478304","NonLowPoint"
"105525592","NonLowPoint"
"101476258","NonLowPoint"
"203936571","NonLowPoint"
"101739510","NonLowPoint"
"103936571","NonLowPoint"
"107218821","NonLowPoint"
"101688176","NonLowPoint"
"201952529","NonLowPoint"
"201840859","NonLowPoint"
"102052409","NonLowPoint"
"101798585","NonLowPoint"
"107425802","NonLowPoint"
"101403789","NonLowPoint"
"101616930","NonLowPoint"
"101586230","NonLowPoint"
"103867100","NonLowPoint"
"101732139","NonLowPoint"
"107004266","NonLowPoint"
"100664074","NonLowPoint"
"101926957","NonLowPoint"
"100767209","NonLowPoint"
"101403874","NonLowPoint"
"202018052","NonLowPoint"
"101403946","NonLowPoint"
"101795714","NonLowPoint"
"201403999","NonLowPoint"
"201586228","NonLowPoint"
"101840018","NonLowPoint"
"101404007","NonLowPoint"
"201403923","NonLowPoint"
"103883189","NonLowPoint"
"101403881","NonLowPoint"
"201404024","NonLowPoint"
"100766024","NonLowPoint"
"101665145","NonLowPoint"
"202177484","NonLowPoint"
"103812189","NonLowPoint"
"101804009","NonLowPoint"
"201403821","NonLowPoint"
"102267698","NonLowPoint"
"101863181","NonLowPoint"
"101650560","NonLowPoint"
